weight,product__ref,primary,secondary,basic_consumption
0.0936,522189e7f38f24a,"Food, beverages & tobacco",Merchandise,FALSE
0.05309,08489177c159831,Fruits & vegetables,Agricultural,FALSE
0.0817,466dea40c877fee,"Food, beverages & tobacco",Merchandise,TRUE
0.22311,4099795618656fd,Fruits & vegetables,Agricultural,FALSE
0.07554,c4a63ce96d9ea96,Fruits & vegetables,Agricultural,FALSE
0.088,50c5b334f5b9fc1,"Food, beverages & tobacco",Merchandise,FALSE
0.26288,ee9914e30cfb90e,Fruits & vegetables,Agricultural,FALSE
0.06747,3aea3a48fb4eefb,"Food, beverages & tobacco",Merchandise,FALSE
0.2528,732526d8719ceab,Fruits & vegetables,Agricultural,FALSE
1.07927,3449bf68e4ccf09,"Food, beverages & tobacco",Merchandise,FALSE
0.09426,e4f91a6cd3bb389,Fruits & vegetables,Agricultural,FALSE
0.05886,b20481179c9a40d,"Food, beverages & tobacco",Merchandise,FALSE
0.08261,87cec26f214b350,"Food, beverages & tobacco",Merchandise,FALSE
0.0195,892ab30c0b4f2db,Livestock,Agricultural,FALSE
0.03755,e8ef590fef6f384,"Food, beverages & tobacco",Merchandise,FALSE
0.11063,14c0b040039aaa9,"Food, beverages & tobacco",Merchandise,FALSE
0.31348,170ad3c8e3ebb5c,"Food, beverages & tobacco",Merchandise,TRUE
0.25105,9aaa18043b49918,"Food, beverages & tobacco",Merchandise,TRUE
0.81718,f19555c07e57afd,"Food, beverages & tobacco",Merchandise,FALSE
0.4753,cbcdd524e734d47,Fruits & vegetables,Agricultural,FALSE
0.10415,107bb130b224217,"Food, beverages & tobacco",Merchandise,FALSE
0.1028,310cec97eb65812,Fruits & vegetables,Agricultural,FALSE
0.165,c027962c25c220b,"Food, beverages & tobacco",Merchandise,TRUE
0.12619,fe750744e1be454,"Food, beverages & tobacco",Merchandise,FALSE
0.14994,74feccc3706ec39,"Food, beverages & tobacco",Merchandise,FALSE
0.046,93340301fa113df,Fruits & vegetables,Agricultural,FALSE
0.04555,6d208962bcada90,Fruits & vegetables,Agricultural,FALSE
0.38613,6bab67da0f1c47c,Livestock,Agricultural,FALSE
0.04164,b52772488920101,Fruits & vegetables,Agricultural,FALSE
0.13843,6f6a71dc4b9134a,"Food, beverages & tobacco",Merchandise,FALSE
0.23064,7259636d172fee3,Fruits & vegetables,Agricultural,FALSE
1.52404,afd2e2a3d1b6cdb,Livestock,Agricultural,FALSE
0.33795,f4d4972c22a4e8b,"Food, beverages & tobacco",Merchandise,FALSE
0.02812,5691af0eb62eeec,"Food, beverages & tobacco",Merchandise,FALSE
0.40182,75879ec891a3cda,"Food, beverages & tobacco",Merchandise,FALSE
0.09966,b093042e5a49c36,"Food, beverages & tobacco",Merchandise,FALSE
0.19003,4cd896b6ff2cc12,"Food, beverages & tobacco",Merchandise,FALSE
2.06434,10ef80c17e2b1aa,"Food, beverages & tobacco",Merchandise,TRUE
0.04003,51288bf59f3182c,"Food, beverages & tobacco",Merchandise,FALSE
0.23601,96346245bf11ce8,"Food, beverages & tobacco",Merchandise,FALSE
0.03967,0ffa6e2dd228574,Fruits & vegetables,Agricultural,FALSE
0.0634,8f50ce285646722,"Food, beverages & tobacco",Merchandise,TRUE
0.02523,0c57a89ec3acf1a,"Food, beverages & tobacco",Merchandise,FALSE
0.18634,3d7be9de0701c09,"Food, beverages & tobacco",Merchandise,FALSE
0.03076,0966749b259ddaf,"Food, beverages & tobacco",Merchandise,FALSE
0.1569,ec7f658bb8caabc,Fruits & vegetables,Agricultural,FALSE
1.86698,b146318fe51b95c,"Food, beverages & tobacco",Merchandise,TRUE
0.10836,21e639689399139,"Food, beverages & tobacco",Merchandise,FALSE
0.10074,b1c1b572866b302,"Food, beverages & tobacco",Merchandise,TRUE
0.05368,9d2344bdf1dd97a,Fruits & vegetables,Agricultural,FALSE
0.03877,40fd62913aab87a,"Food, beverages & tobacco",Merchandise,FALSE
0.1231,c1f2c61a54776d0,"Food, beverages & tobacco",Merchandise,FALSE
0.06168,47cc22cef3174af,Livestock,Agricultural,TRUE
0.27994,6dafcdd00368e57,"Food, beverages & tobacco",Merchandise,FALSE
0.07527,0189693b7f7987f,Fruits & vegetables,Agricultural,FALSE
0.25201,abfe512c845f880,Non-food merchandise,Merchandise,FALSE
0.18777,5345376cdc083cf,Non-food merchandise,Merchandise,FALSE
0.01311,cff38faba77aeb7,Non-food merchandise,Merchandise,FALSE
0.01878,3e68130cdee4177,Non-food merchandise,Merchandise,FALSE
0.03559,7c6bc57b8001b13,Non-food merchandise,Merchandise,FALSE
0.25013,f3673e6eaeb6503,Non-food merchandise,Merchandise,FALSE
0.11685,e96eeb27a5e82d7,Non-food merchandise,Merchandise,FALSE
0.00592,82b263c42836df7,Non-food merchandise,Merchandise,FALSE
0.0274,e3f2fa71e84e880,Non-food merchandise,Merchandise,FALSE
0.06514,19f93c30013f566,Non-food merchandise,Merchandise,FALSE
0.34333,a28b9aa5c67c1af,Non-food merchandise,Merchandise,FALSE
0.26971,0a8b68febe331b2,Non-food merchandise,Merchandise,FALSE
0.14145,8a572a099b21688,Non-food merchandise,Merchandise,FALSE
0.07318,6d6cd0c2e84fa56,Non-food merchandise,Merchandise,FALSE
0.2343,dff1e849da25f30,Non-food merchandise,Merchandise,FALSE
0.0424,08f297464c671f6,Non-food merchandise,Merchandise,FALSE
0.04719,e98953ad82da47c,Non-food merchandise,Merchandise,FALSE
0.07795,2df271eb5abacc4,Non-food merchandise,Merchandise,FALSE
0.17709,4906914621d88c4,Non-food merchandise,Merchandise,FALSE
0.05695,80e912b4297d3d5,Other services,Services,FALSE
0.07132,e9dbbeaba18e53c,Other services,Services,FALSE
0.0237,b150e46f85af0e9,Non-food merchandise,Merchandise,FALSE
0.05135,383b36ce8cd58b4,Non-food merchandise,Merchandise,FALSE
0.34329,55ac68471d3a0ea,Non-food merchandise,Merchandise,FALSE
0.13999,ffda86a8255d09f,Non-food merchandise,Merchandise,FALSE
0.25777,f97cb5e2810161b,Non-food merchandise,Merchandise,FALSE
0.13308,c87b9700a494c26,Non-food merchandise,Merchandise,FALSE
0.28826,0bce0b7d36e600e,Non-food merchandise,Merchandise,FALSE
0.3888,61af036cdfaa11e,Non-food merchandise,Merchandise,FALSE
0.35306,64e1a8351d705aa,Non-food merchandise,Merchandise,FALSE
0.55529,5d2f2914dea3907,Non-food merchandise,Merchandise,FALSE
0.93521,0c51485e624f593,Government fares,Energetics & government fares,FALSE
